Net generation from natural gas for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NG.H
19:17:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NG.H megawatthours
10/15/2021 03H,7152
10/15/2021 02H,7980
10/15/2021 01H,8815
10/15/2021 00H,9744
10/14/2021 23H,9766
10/14/2021 22H,9951
10/14/2021 21H,9919
10/14/2021 20H,9387
10/14/2021 19H,9022
10/14/2021 18H,8714
10/14/2021 17H,8237
10/14/2021 16H,7753
10/14/2021 15H,7839
10/14/2021 14H,7905
10/14/2021 13H,7804
10/14/2021 12H,7428
10/14/2021 11H,6856
10/14/2021 10H,6056
10/14/2021 09H,5413
10/14/2021 08H,5202
10/14/2021 07H,5247
10/14/2021 06H,5619
10/14/2021 05H,6141
10/14/2021 04H,6517
10/14/2021 03H,6949
10/14/2021 02H,7120
10/14/2021 01H,8045
10/14/2021 00H,9035
10/13/2021 23H,8617
10/13/2021 22H,8480
10/13/2021 21H,8194
10/13/2021 20H,7984
10/13/2021 19H,7599
10/13/2021 18H,7566
10/13/2021 17H,7535
10/13/2021 16H,7544
10/13/2021 15H,7313
10/13/2021 14H,7218
10/13/2021 13H,7233
10/13/2021 12H,6910
10/13/2021 11H,6684
10/13/2021 10H,5741
10/13/2021 09H,5231
10/13/2021 08H,5174
10/13/2021 07H,5273
10/13/2021 06H,5561
10/13/2021 05H,5662
10/13/2021 04H,5995
10/13/2021 03H,6451
10/13/2021 02H,6979
10/13/2021 01H,7999
10/13/2021 00H,8338
10/12/2021 23H,8569
10/12/2021 22H,8416
10/12/2021 21H,8132
10/12/2021 20H,7710
10/12/2021 19H,7490
10/12/2021 18H,7497
10/12/2021 17H,7111
10/12/2021 16H,7133
10/12/2021 15H,7094
10/12/2021 14H,7200
10/12/2021 13H,6836
10/12/2021 12H,6415
10/12/2021 11H,5988
10/12/2021 10H,5609
10/12/2021 09H,4897
10/12/2021 08H,4872
10/12/2021 07H,5035
10/12/2021 06H,5103
10/12/2021 05H,5370
10/12/2021 04H,6012
10/12/2021 03H,6267
10/12/2021 02H,6734
10/12/2021 01H,7460
10/12/2021 00H,7992
10/11/2021 23H,8111
10/11/2021 22H,8147
10/11/2021 21H,7770
10/11/2021 20H,7503
10/11/2021 19H,7367
10/11/2021 18H,7195
10/11/2021 17H,6982
10/11/2021 16H,7009
10/11/2021 15H,6960
10/11/2021 14H,7018
10/11/2021 13H,6652
10/11/2021 12H,6137
10/11/2021 11H,5470
10/11/2021 10H,4934
10/11/2021 09H,4602
10/11/2021 08H,4356
10/11/2021 07H,4559
10/11/2021 06H,4544
10/11/2021 05H,4352
10/11/2021 04H,4699
10/11/2021 03H,4869
10/11/2021 02H,4968
10/11/2021 01H,5719
10/11/2021 00H,6143
10/10/2021 23H,6235
10/10/2021 22H,6160
10/10/2021 21H,5836
10/10/2021 20H,5744
10/10/2021 19H,5575
10/10/2021 18H,5401
10/10/2021 17H,5134
10/10/2021 16H,5132
10/10/2021 15H,5001
10/10/2021 14H,4669
10/10/2021 13H,4578
10/10/2021 12H,4541
10/10/2021 11H,4330
10/10/2021 10H,4141
10/10/2021 09H,3995
10/10/2021 08H,4296
10/10/2021 07H,4432
10/10/2021 06H,4586
10/10/2021 05H,4674
10/10/2021 04H,5078
10/10/2021 03H,5447
10/10/2021 02H,5653
10/10/2021 01H,6394
10/10/2021 00H,6840
10/9/2021 23H,6727
10/9/2021 22H,6524
10/9/2021 21H,6273
10/9/2021 20H,5903
10/9/2021 19H,5883
10/9/2021 18H,5835
10/9/2021 17H,5858
10/9/2021 16H,5684
10/9/2021 15H,5693
10/9/2021 14H,5710
10/9/2021 13H,5418
10/9/2021 12H,5314
10/9/2021 11H,5130
10/9/2021 10H,4844
10/9/2021 09H,4685
10/9/2021 08H,4635
10/9/2021 07H,4806
10/9/2021 06H,4925
10/9/2021 05H,5134
10/9/2021 04H,5735
10/9/2021 03H,6243
10/9/2021 02H,7040
10/9/2021 01H,7896
10/9/2021 00H,8927
10/8/2021 23H,9124
10/8/2021 22H,9281
10/8/2021 21H,9069
10/8/2021 20H,8657
10/8/2021 19H,8432
10/8/2021 18H,8362
10/8/2021 17H,7903
10/8/2021 16H,7510
10/8/2021 15H,7413
10/8/2021 14H,7440
10/8/2021 13H,7016
10/8/2021 12H,6528
10/8/2021 11H,6157
10/8/2021 10H,5467
10/8/2021 09H,5182
10/8/2021 08H,5112
10/8/2021 07H,5151
10/8/2021 06H,5304
10/8/2021 05H,5594
10/8/2021 04H,5827
10/8/2021 03H,6512
10/8/2021 02H,7247
10/8/2021 01H,8487
10/8/2021 00H,9517
10/7/2021 23H,9311
10/7/2021 22H,9074
10/7/2021 21H,8799
10/7/2021 20H,8441
10/7/2021 19H,7938
10/7/2021 18H,7768
10/7/2021 17H,7259
