Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
10/16/2021 18H,10497
10/16/2021 17H,10551
10/16/2021 16H,10882
10/16/2021 15H,11384
10/16/2021 14H,11612
10/16/2021 13H,11426
10/16/2021 12H,10979
10/16/2021 11H,10759
10/16/2021 10H,10545
10/16/2021 09H,10497
10/16/2021 08H,10551
10/16/2021 07H,10941
10/16/2021 06H,11485
10/16/2021 05H,11793
10/16/2021 04H,11872
10/16/2021 03H,11778
10/16/2021 02H,11545
10/16/2021 01H,11082
10/16/2021 00H,10054
10/15/2021 23H,9066
10/15/2021 22H,8897
10/15/2021 21H,8266
10/15/2021 20H,8147
10/15/2021 19H,8273
10/15/2021 18H,8408
10/15/2021 17H,8634
10/15/2021 16H,9232
10/15/2021 15H,10150
10/15/2021 14H,10312
10/15/2021 13H,10330
10/15/2021 12H,10386
10/15/2021 11H,10600
10/15/2021 10H,10713
10/15/2021 09H,11116
10/15/2021 08H,11465
10/15/2021 07H,11484
10/15/2021 06H,11578
10/15/2021 05H,11677
10/15/2021 04H,11583
10/15/2021 03H,11510
10/15/2021 02H,11660
10/15/2021 01H,11456
10/15/2021 00H,10898
10/14/2021 23H,10722
10/14/2021 22H,10820
10/14/2021 21H,10721
10/14/2021 20H,10555
10/14/2021 19H,10611
10/14/2021 18H,10748
10/14/2021 17H,10962
10/14/2021 16H,11538
10/14/2021 15H,11855
10/14/2021 14H,11870
10/14/2021 13H,11812
10/14/2021 12H,11671
10/14/2021 11H,11387
10/14/2021 10H,11248
10/14/2021 09H,10747
10/14/2021 08H,10695
10/14/2021 07H,10561
10/14/2021 06H,10557
10/14/2021 05H,10303
10/14/2021 04H,10278
10/14/2021 03H,10432
10/14/2021 02H,10282
10/14/2021 01H,10294
10/14/2021 00H,9484
10/13/2021 23H,8861
10/13/2021 22H,8747
