Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
19:02:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
10/17/2021 03H,11805
10/17/2021 02H,12259
10/17/2021 01H,12657
10/17/2021 00H,12373
10/16/2021 23H,11820
10/16/2021 22H,11921
10/16/2021 21H,11880
10/16/2021 20H,11877
10/16/2021 19H,11829
10/16/2021 18H,11694
10/16/2021 17H,11764
10/16/2021 16H,11743
10/16/2021 15H,11834
10/16/2021 14H,11675
10/16/2021 13H,11127
10/16/2021 12H,10826
10/16/2021 11H,10796
10/16/2021 10H,10339
10/16/2021 09H,10254
10/16/2021 08H,10421
10/16/2021 07H,10557
10/16/2021 06H,10727
10/16/2021 05H,10963
10/16/2021 04H,12545
10/16/2021 03H,12528
10/16/2021 02H,12874
10/16/2021 01H,14557
10/16/2021 00H,14206
10/15/2021 23H,13849
10/15/2021 22H,13765
10/15/2021 21H,13806
10/15/2021 20H,13772
10/15/2021 19H,13624
10/15/2021 18H,13551
10/15/2021 17H,13303
10/15/2021 16H,13224
10/15/2021 15H,13525
10/15/2021 14H,13228
10/15/2021 13H,12172
10/15/2021 12H,11865
10/15/2021 11H,11784
10/15/2021 10H,11524
10/15/2021 09H,10827
10/15/2021 08H,10850
10/15/2021 07H,10919
10/15/2021 06H,11105
10/15/2021 05H,10710
10/15/2021 04H,11940
10/15/2021 03H,12736
10/15/2021 02H,13287
10/15/2021 01H,14178
10/15/2021 00H,13669
10/14/2021 23H,13783
10/14/2021 22H,13163
10/14/2021 21H,13154
10/14/2021 20H,13616
10/14/2021 19H,13443
10/14/2021 18H,13159
10/14/2021 17H,12923
10/14/2021 16H,12925
10/14/2021 15H,12892
10/14/2021 14H,12765
10/14/2021 13H,11634
10/14/2021 12H,11489
10/14/2021 11H,11337
10/14/2021 10H,10934
10/14/2021 09H,10324
10/14/2021 08H,10399
10/14/2021 07H,10655
10/14/2021 06H,10864
10/14/2021 05H,11059
10/14/2021 04H,11930
10/14/2021 03H,12120
10/14/2021 02H,12597
10/14/2021 01H,13100
10/14/2021 00H,12732
10/13/2021 23H,12863
10/13/2021 22H,12882
10/13/2021 21H,13097
10/13/2021 20H,13114
10/13/2021 19H,13072
10/13/2021 18H,13013
10/13/2021 17H,12809
10/13/2021 16H,12921
10/13/2021 15H,12851
10/13/2021 14H,12602
10/13/2021 13H,11770
10/13/2021 12H,11639
10/13/2021 11H,11584
10/13/2021 10H,11148
10/13/2021 09H,10481
10/13/2021 08H,10503
10/13/2021 07H,10774
10/13/2021 06H,11162
10/13/2021 05H,11432
10/13/2021 04H,11769
10/13/2021 03H,12278
10/13/2021 02H,12943
10/13/2021 01H,13733
10/13/2021 00H,13407
10/12/2021 23H,13122
10/12/2021 22H,13051
10/12/2021 21H,13178
10/12/2021 20H,13190
10/12/2021 19H,13034
10/12/2021 18H,12919
10/12/2021 17H,12881
10/12/2021 16H,12921
10/12/2021 15H,13347
10/12/2021 14H,12987
10/12/2021 13H,12078
10/12/2021 12H,11561
10/12/2021 11H,11397
10/12/2021 10H,11243
10/12/2021 09H,10532
10/12/2021 08H,10486
10/12/2021 07H,10573
10/12/2021 06H,10907
10/12/2021 05H,11197
10/12/2021 04H,11547
10/12/2021 03H,12132
10/12/2021 02H,13100
10/12/2021 01H,13704
10/12/2021 00H,13725
10/11/2021 23H,13321
10/11/2021 22H,13338
10/11/2021 21H,13378
10/11/2021 20H,13220
10/11/2021 19H,13104
10/11/2021 18H,13031
10/11/2021 17H,12845
10/11/2021 16H,13001
10/11/2021 15H,13361
10/11/2021 14H,13136
10/11/2021 13H,12215
10/11/2021 12H,11832
10/11/2021 11H,11826
10/11/2021 10H,11217
10/11/2021 09H,10659
10/11/2021 08H,10640
10/11/2021 07H,10797
10/11/2021 06H,10977
10/11/2021 05H,11232
10/11/2021 04H,11688
10/11/2021 03H,12464
10/11/2021 02H,13064
10/11/2021 01H,13645
10/11/2021 00H,13382
10/10/2021 23H,13141
10/10/2021 22H,13108
10/10/2021 21H,13075
10/10/2021 20H,13010
10/10/2021 19H,12875
10/10/2021 18H,12822
10/10/2021 17H,12825
10/10/2021 16H,12774
10/10/2021 15H,13038
10/10/2021 14H,12946
10/10/2021 13H,11700
10/10/2021 12H,10644
10/10/2021 11H,10469
10/10/2021 10H,10337
10/10/2021 09H,10374
10/10/2021 08H,10405
10/10/2021 07H,10661
10/10/2021 06H,10859
10/10/2021 05H,11402
10/10/2021 04H,12330
10/10/2021 03H,12415
10/10/2021 02H,12778
10/10/2021 01H,13661
10/10/2021 00H,13066
10/9/2021 23H,12955
10/9/2021 22H,12919
10/9/2021 21H,12828
10/9/2021 20H,12682
10/9/2021 19H,12470
10/9/2021 18H,12517
10/9/2021 17H,12517
10/9/2021 16H,12408
10/9/2021 15H,12464
10/9/2021 14H,12346
10/9/2021 13H,11493
10/9/2021 12H,10823
10/9/2021 11H,10452
10/9/2021 10H,10473
10/9/2021 09H,10494
10/9/2021 08H,10659
10/9/2021 07H,10861
10/9/2021 06H,10955
10/9/2021 05H,11445
10/9/2021 04H,11904
10/9/2021 03H,12217
10/9/2021 02H,12807
10/9/2021 01H,13551
10/9/2021 00H,12822
10/8/2021 23H,12734
10/8/2021 22H,12730
10/8/2021 21H,12936
10/8/2021 20H,12912
10/8/2021 19H,12855
10/8/2021 18H,12682
10/8/2021 17H,12553
10/8/2021 16H,12899
10/8/2021 15H,12852
10/8/2021 14H,13278
10/8/2021 13H,12266
10/8/2021 12H,12078
10/8/2021 11H,11300
10/8/2021 10H,11126
10/8/2021 09H,11460
10/8/2021 08H,10692
10/8/2021 07H,10764
10/8/2021 06H,11416
10/8/2021 05H,11021
10/8/2021 04H,12366
10/8/2021 03H,12398
10/8/2021 02H,12780
10/8/2021 01H,13674
10/8/2021 00H,13060
10/7/2021 23H,12957
10/7/2021 22H,12921
10/7/2021 21H,12928
10/7/2021 20H,13684
10/7/2021 19H,12840
