Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
19:02:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
10/29/2021 01H,61912
10/29/2021 00H,64518
10/28/2021 23H,65425
10/28/2021 22H,66490
10/28/2021 21H,65453
10/28/2021 20H,64757
10/28/2021 19H,65556
10/28/2021 18H,65810
10/28/2021 17H,64371
10/28/2021 16H,63664
10/28/2021 15H,64983
10/28/2021 14H,68211
10/28/2021 13H,68650
10/28/2021 12H,65936
10/28/2021 11H,61100
10/28/2021 10H,59178
10/28/2021 09H,59318
10/28/2021 08H,58514
10/28/2021 07H,56455
10/28/2021 06H,56616
10/28/2021 05H,58382
10/28/2021 04H,57938
10/28/2021 03H,58467
10/28/2021 02H,58547
10/28/2021 01H,59043
10/28/2021 00H,63595
10/27/2021 23H,63778
10/27/2021 22H,63746
10/27/2021 21H,63567
10/27/2021 20H,63881
10/27/2021 19H,65116
10/27/2021 18H,65229
10/27/2021 17H,64917
10/27/2021 16H,64521
10/27/2021 15H,65417
10/27/2021 14H,64918
10/27/2021 13H,67316
10/27/2021 12H,67993
10/27/2021 11H,67084
10/27/2021 10H,65743
10/27/2021 09H,64031
10/27/2021 08H,64401
10/27/2021 07H,63737
10/27/2021 06H,65860
10/27/2021 05H,68761
10/27/2021 04H,70296
10/27/2021 03H,72635
10/27/2021 02H,73208
10/27/2021 01H,75020
10/27/2021 00H,73692
10/26/2021 23H,72463
10/26/2021 22H,71712
10/26/2021 21H,71491
10/26/2021 20H,71586
10/26/2021 19H,70546
10/26/2021 18H,69173
10/26/2021 17H,68265
10/26/2021 16H,67306
10/26/2021 15H,66800
10/26/2021 14H,68309
10/26/2021 13H,70449
10/26/2021 12H,69521
10/26/2021 11H,67845
10/26/2021 10H,67322
10/26/2021 09H,66384
10/26/2021 08H,67347
10/26/2021 07H,66764
10/26/2021 06H,67267
10/26/2021 05H,68164
10/26/2021 04H,70516
10/26/2021 03H,66783
10/26/2021 02H,63802
10/26/2021 01H,56656
10/26/2021 00H,50622
10/25/2021 23H,48792
10/25/2021 22H,46271
10/25/2021 21H,44701
10/25/2021 20H,42096
10/25/2021 19H,38761
10/25/2021 18H,36253
