Net generation from nuclear for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NUC.H
19:14:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NUC.H megawatthours
10/15/2021 16H,9381
10/15/2021 15H,9384
10/15/2021 14H,9380
10/15/2021 13H,9374
10/15/2021 12H,9372
10/15/2021 11H,9374
10/15/2021 10H,9381
10/15/2021 09H,9381
10/15/2021 08H,9372
10/15/2021 07H,9362
10/15/2021 06H,9356
10/15/2021 05H,9355
10/15/2021 04H,9351
10/15/2021 03H,9353
10/15/2021 02H,9344
10/15/2021 01H,9343
10/15/2021 00H,9337
10/14/2021 23H,9334
10/14/2021 22H,9332
10/14/2021 21H,9333
10/14/2021 20H,9339
10/14/2021 19H,9342
10/14/2021 18H,9342
10/14/2021 17H,9344
10/14/2021 16H,9347
10/14/2021 15H,9344
10/14/2021 14H,9343
10/14/2021 13H,9352
10/14/2021 12H,9353
10/14/2021 11H,9354
10/14/2021 10H,9347
10/14/2021 09H,9343
10/14/2021 08H,9342
10/14/2021 07H,9340
10/14/2021 06H,9335
10/14/2021 05H,9333
10/14/2021 04H,9322
10/14/2021 03H,9330
10/14/2021 02H,9327
10/14/2021 01H,9328
10/14/2021 00H,9328
10/13/2021 23H,9329
10/13/2021 22H,9328
10/13/2021 21H,9332
10/13/2021 20H,9336
10/13/2021 19H,9330
10/13/2021 18H,9330
10/13/2021 17H,9343
10/13/2021 16H,9347
10/13/2021 15H,9364
10/13/2021 14H,9367
10/13/2021 13H,9364
10/13/2021 12H,9364
10/13/2021 11H,9370
10/13/2021 10H,9366
10/13/2021 09H,9365
10/13/2021 08H,9364
10/13/2021 07H,9362
10/13/2021 06H,9358
10/13/2021 05H,9349
10/13/2021 04H,9343
10/13/2021 03H,9338
10/13/2021 02H,9337
10/13/2021 01H,9333
10/13/2021 00H,9340
10/12/2021 23H,9336
10/12/2021 22H,9335
10/12/2021 21H,9333
10/12/2021 20H,9333
10/12/2021 19H,9345
10/12/2021 18H,9314
10/12/2021 17H,9351
10/12/2021 16H,9356
10/12/2021 15H,9364
10/12/2021 14H,9370
10/12/2021 13H,9367
10/12/2021 12H,9374
10/12/2021 11H,9375
10/12/2021 10H,9378
10/12/2021 09H,9377
10/12/2021 08H,9374
10/12/2021 07H,9369
10/12/2021 06H,9369
10/12/2021 05H,9360
10/12/2021 04H,9359
10/12/2021 03H,9356
10/12/2021 02H,9357
10/12/2021 01H,9347
10/12/2021 00H,9342
10/11/2021 23H,9342
10/11/2021 22H,9338
10/11/2021 21H,9343
10/11/2021 20H,9349
10/11/2021 19H,9345
10/11/2021 18H,9339
10/11/2021 17H,9340
10/11/2021 16H,9340
10/11/2021 15H,9338
10/11/2021 14H,9340
10/11/2021 13H,9322
10/11/2021 12H,9312
10/11/2021 11H,9307
10/11/2021 10H,9302
10/11/2021 09H,9286
10/11/2021 08H,9188
10/11/2021 07H,9011
10/11/2021 06H,8866
10/11/2021 05H,8868
10/11/2021 04H,8863
10/11/2021 03H,8860
10/11/2021 02H,8876
10/11/2021 01H,8871
10/11/2021 00H,8871
10/10/2021 23H,8848
10/10/2021 22H,8864
10/10/2021 21H,8855
10/10/2021 20H,8859
10/10/2021 19H,8862
10/10/2021 18H,8864
10/10/2021 17H,8864
10/10/2021 16H,8877
10/10/2021 15H,8894
10/10/2021 14H,8898
10/10/2021 13H,8888
10/10/2021 12H,8887
10/10/2021 11H,8888
10/10/2021 10H,8878
10/10/2021 09H,8877
10/10/2021 08H,8873
10/10/2021 07H,8870
10/10/2021 06H,8861
10/10/2021 05H,8856
10/10/2021 04H,8890
10/10/2021 03H,8891
10/10/2021 02H,8889
10/10/2021 01H,8875
10/10/2021 00H,8863
10/9/2021 23H,8861
10/9/2021 22H,8852
10/9/2021 21H,8848
10/9/2021 20H,8840
10/9/2021 19H,8820
10/9/2021 18H,8802
10/9/2021 17H,8834
10/9/2021 16H,8840
10/9/2021 15H,8835
10/9/2021 14H,8835
10/9/2021 13H,8827
10/9/2021 12H,8816
10/9/2021 11H,8810
10/9/2021 10H,8807
10/9/2021 09H,8803
10/9/2021 08H,8806
10/9/2021 07H,8813
10/9/2021 06H,8832
10/9/2021 05H,8918
10/9/2021 04H,9374
10/9/2021 03H,9784
10/9/2021 02H,9820
10/9/2021 01H,9826
10/9/2021 00H,9830
10/8/2021 23H,9826
10/8/2021 22H,9827
10/8/2021 21H,9826
10/8/2021 20H,9826
10/8/2021 19H,9823
10/8/2021 18H,9828
10/8/2021 17H,9832
10/8/2021 16H,9836
10/8/2021 15H,9847
10/8/2021 14H,9857
10/8/2021 13H,9862
10/8/2021 12H,9862
10/8/2021 11H,9862
10/8/2021 10H,9864
10/8/2021 09H,9864
10/8/2021 08H,9860
10/8/2021 07H,9862
10/8/2021 06H,9862
10/8/2021 05H,9856
10/8/2021 04H,9851
10/8/2021 03H,9846
10/8/2021 02H,9842
10/8/2021 01H,9841
10/8/2021 00H,9843
10/7/2021 23H,9846
10/7/2021 22H,9845
10/7/2021 21H,9849
10/7/2021 20H,9847
