Net generation from natural gas for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NG.H
19:06:34 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NG.H megawatthours
10/19/2021 21H,6019
10/19/2021 20H,5664
10/19/2021 19H,5550
10/19/2021 18H,5478
10/19/2021 17H,5600
10/19/2021 16H,5895
10/19/2021 15H,5921
10/19/2021 14H,6152
10/19/2021 13H,6946
10/19/2021 12H,7311
10/19/2021 11H,6653
10/19/2021 10H,5539
10/19/2021 09H,5276
10/19/2021 08H,5136
10/19/2021 07H,5123
10/19/2021 06H,5069
10/19/2021 05H,5289
10/19/2021 04H,5572
10/19/2021 03H,5851
10/19/2021 02H,6499
10/19/2021 01H,6956
10/19/2021 00H,7075
10/18/2021 23H,6613
10/18/2021 22H,6193
10/18/2021 21H,5583
10/18/2021 20H,5042
10/18/2021 19H,4693
10/18/2021 18H,4832
10/18/2021 17H,5217
10/18/2021 16H,5338
10/18/2021 15H,5330
10/18/2021 14H,5478
10/18/2021 13H,5863
10/18/2021 12H,6145
10/18/2021 11H,5676
10/18/2021 10H,4952
10/18/2021 09H,4650
10/18/2021 08H,4361
10/18/2021 07H,4182
10/18/2021 06H,4371
10/18/2021 05H,4625
10/18/2021 04H,4565
10/18/2021 03H,4792
10/18/2021 02H,5048
10/18/2021 01H,5386
10/18/2021 00H,5600
10/17/2021 23H,5451
10/17/2021 22H,4761
10/17/2021 21H,3948
10/17/2021 20H,3728
10/17/2021 19H,3587
10/17/2021 18H,3443
10/17/2021 17H,3547
10/17/2021 16H,3533
10/17/2021 15H,3499
10/17/2021 14H,3450
10/17/2021 13H,4229
10/17/2021 12H,4425
10/17/2021 11H,4423
10/17/2021 10H,4181
10/17/2021 09H,4050
10/17/2021 08H,4141
10/17/2021 07H,4329
10/17/2021 06H,4656
10/17/2021 05H,4830
10/17/2021 04H,4971
10/17/2021 03H,5626
10/17/2021 02H,6133
10/17/2021 01H,6639
10/17/2021 00H,6941
10/16/2021 23H,7364
10/16/2021 22H,7769
10/16/2021 21H,7811
10/16/2021 20H,7745
10/16/2021 19H,7160
10/16/2021 18H,6939
10/16/2021 17H,6763
10/16/2021 16H,6479
10/16/2021 15H,6040
10/16/2021 14H,5783
10/16/2021 13H,5996
10/16/2021 12H,6039
10/16/2021 11H,5868
10/16/2021 10H,5683
10/16/2021 09H,5519
10/16/2021 08H,5339
10/16/2021 07H,5461
10/16/2021 06H,5771
10/16/2021 05H,6125
10/16/2021 04H,6125
10/16/2021 03H,6567
10/16/2021 02H,7246
10/16/2021 01H,7940
10/16/2021 00H,8926
10/15/2021 23H,9535
10/15/2021 22H,9601
10/15/2021 21H,8830
10/15/2021 20H,8249
10/15/2021 19H,8010
10/15/2021 18H,7732
10/15/2021 17H,7148
10/15/2021 16H,6503
10/15/2021 15H,6001
10/15/2021 14H,5876
10/15/2021 13H,6150
10/15/2021 12H,6291
10/15/2021 11H,6013
10/15/2021 10H,5469
10/15/2021 09H,5099
10/15/2021 08H,5069
10/15/2021 07H,5313
10/15/2021 06H,5497
10/15/2021 05H,5877
10/15/2021 04H,6300
10/15/2021 03H,7054
10/15/2021 02H,8004
10/15/2021 01H,8799
10/15/2021 00H,9263
10/14/2021 23H,9373
10/14/2021 22H,9299
10/14/2021 21H,8901
10/14/2021 20H,8291
10/14/2021 19H,7912
10/14/2021 18H,7337
10/14/2021 17H,7053
10/14/2021 16H,6362
10/14/2021 15H,5644
10/14/2021 14H,5387
10/14/2021 13H,5874
10/14/2021 12H,6145
10/14/2021 11H,5847
10/14/2021 10H,5333
10/14/2021 09H,5006
10/14/2021 08H,4822
10/14/2021 07H,5127
10/14/2021 06H,5518
10/14/2021 05H,5663
10/14/2021 04H,5868
10/14/2021 03H,6523
10/14/2021 02H,6964
10/14/2021 01H,8056
10/14/2021 00H,8391
10/13/2021 23H,8541
10/13/2021 22H,8547
10/13/2021 21H,8283
10/13/2021 20H,7678
10/13/2021 19H,7320
10/13/2021 18H,7028
10/13/2021 17H,6614
10/13/2021 16H,5994
10/13/2021 15H,5570
10/13/2021 14H,5882
10/13/2021 13H,6418
10/13/2021 12H,6670
10/13/2021 11H,6236
10/13/2021 10H,5341
10/13/2021 09H,4965
10/13/2021 08H,4914
10/13/2021 07H,5081
10/13/2021 06H,5243
10/13/2021 05H,5413
10/13/2021 04H,5602
10/13/2021 03H,6270
10/13/2021 02H,6913
10/13/2021 01H,7583
10/13/2021 00H,7574
10/12/2021 23H,7414
10/12/2021 22H,7345
10/12/2021 21H,7364
10/12/2021 20H,7466
10/12/2021 19H,7420
10/12/2021 18H,7416
10/12/2021 17H,7043
10/12/2021 16H,6411
10/12/2021 15H,6353
10/12/2021 14H,6335
10/12/2021 13H,6430
10/12/2021 12H,6190
10/12/2021 11H,5996
10/12/2021 10H,5619
10/12/2021 09H,5300
10/12/2021 08H,5150
10/12/2021 07H,5231
10/12/2021 06H,5532
10/12/2021 05H,5842
10/12/2021 04H,6172
10/12/2021 03H,6945
10/12/2021 02H,8004
10/12/2021 01H,8866
10/12/2021 00H,8992
10/11/2021 23H,8908
10/11/2021 22H,8825
10/11/2021 21H,8718
10/11/2021 20H,8719
10/11/2021 19H,8478
10/11/2021 18H,8315
10/11/2021 17H,8204
10/11/2021 16H,7538
10/11/2021 15H,6703
10/11/2021 14H,6407
10/11/2021 13H,6472
10/11/2021 12H,6524
10/11/2021 11H,6074
10/11/2021 10H,5838
10/11/2021 09H,5650
10/11/2021 08H,5522
10/11/2021 07H,5637
10/11/2021 06H,5840
10/11/2021 05H,6151
10/11/2021 04H,6321
10/11/2021 03H,7114
10/11/2021 02H,7912
10/11/2021 01H,8958
10/11/2021 00H,9381
10/10/2021 23H,9274
10/10/2021 22H,8853
10/10/2021 21H,8160
10/10/2021 20H,7609
10/10/2021 19H,6958
10/10/2021 18H,6364
10/10/2021 17H,6055
10/10/2021 16H,5681
10/10/2021 15H,5524
10/10/2021 14H,5560
10/10/2021 13H,5556
10/10/2021 12H,5252
10/10/2021 11H,4555
10/10/2021 10H,4341
10/10/2021 09H,4232
10/10/2021 08H,4341
10/10/2021 07H,4568
10/10/2021 06H,5244
10/10/2021 05H,5784
10/10/2021 04H,5962
10/10/2021 03H,6685
10/10/2021 02H,7224
10/10/2021 01H,8474
10/10/2021 00H,8721
10/9/2021 23H,8754
10/9/2021 22H,8608
10/9/2021 21H,8060
10/9/2021 20H,7553
10/9/2021 19H,7461
10/9/2021 18H,7239
10/9/2021 17H,6809
10/9/2021 16H,6744
10/9/2021 15H,6555
10/9/2021 14H,6324
10/9/2021 13H,6177
10/9/2021 12H,6106
10/9/2021 11H,6096
10/9/2021 10H,6078
10/9/2021 09H,6039
10/9/2021 08H,6042
10/9/2021 07H,6038
10/9/2021 06H,6098
10/9/2021 05H,6427
10/9/2021 04H,6861
10/9/2021 03H,7564
10/9/2021 02H,7845
10/9/2021 01H,8932
10/9/2021 00H,9316
10/8/2021 23H,9416
10/8/2021 22H,9288
10/8/2021 21H,9355
10/8/2021 20H,9235
10/8/2021 19H,9127
10/8/2021 18H,9031
10/8/2021 17H,9133
10/8/2021 16H,8944
10/8/2021 15H,8705
10/8/2021 14H,8101
10/8/2021 13H,7740
10/8/2021 12H,7130
10/8/2021 11H,6689
10/8/2021 10H,6250
10/8/2021 09H,5876
10/8/2021 08H,5816
10/8/2021 07H,5944
10/8/2021 06H,5998
10/8/2021 05H,5975
10/8/2021 04H,6685
10/8/2021 03H,8008
10/8/2021 02H,9167
10/8/2021 01H,9840
10/8/2021 00H,9994
10/7/2021 23H,10040
10/7/2021 22H,10205
10/7/2021 21H,10103
10/7/2021 20H,10072
10/7/2021 19H,10115
