Net generation from coal for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.COL.H
19:20:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.COL.H megawatthours
10/17/2021 14H,2925
10/17/2021 13H,2920
10/17/2021 12H,2925
10/17/2021 11H,2921
10/17/2021 10H,2835
10/17/2021 09H,2856
10/17/2021 08H,2876
10/17/2021 07H,2878
10/17/2021 06H,2872
10/17/2021 05H,2913
10/17/2021 04H,2894
10/17/2021 03H,2907
10/17/2021 02H,2919
10/17/2021 01H,2875
10/17/2021 00H,2768
10/16/2021 23H,2773
10/16/2021 22H,2649
10/16/2021 21H,2723
10/16/2021 20H,2504
10/16/2021 19H,2466
10/16/2021 18H,2471
10/16/2021 17H,2470
10/16/2021 16H,2465
10/16/2021 15H,2487
10/16/2021 14H,2486
10/16/2021 13H,2489
10/16/2021 12H,2500
10/16/2021 11H,2472
10/16/2021 10H,2505
10/16/2021 09H,2600
10/16/2021 08H,2386
10/16/2021 07H,2358
10/16/2021 06H,2414
10/16/2021 05H,2567
10/16/2021 04H,2906
10/16/2021 03H,3298
10/16/2021 02H,3344
10/16/2021 01H,3381
10/16/2021 00H,3580
10/15/2021 23H,3615
10/15/2021 22H,3615
10/15/2021 21H,3613
10/15/2021 20H,3619
10/15/2021 19H,3616
10/15/2021 18H,3611
10/15/2021 17H,3612
10/15/2021 16H,3495
10/15/2021 15H,3372
10/15/2021 14H,3324
10/15/2021 13H,3366
10/15/2021 12H,3381
10/15/2021 11H,3376
10/15/2021 10H,3373
10/15/2021 09H,3373
10/15/2021 08H,3370
10/15/2021 07H,3362
10/15/2021 06H,3306
10/15/2021 05H,3376
10/15/2021 04H,3473
10/15/2021 03H,3594
10/15/2021 02H,3600
10/15/2021 01H,3601
10/15/2021 00H,3608
10/14/2021 23H,3601
10/14/2021 22H,3592
10/14/2021 21H,3547
10/14/2021 20H,3502
10/14/2021 19H,3501
10/14/2021 18H,3498
10/14/2021 17H,3501
10/14/2021 16H,3332
10/14/2021 15H,3251
10/14/2021 14H,3207
10/14/2021 13H,3277
10/14/2021 12H,3167
10/14/2021 11H,3477
10/14/2021 10H,3560
10/14/2021 09H,3564
10/14/2021 08H,3559
10/14/2021 07H,3528
10/14/2021 06H,3552
10/14/2021 05H,3556
10/14/2021 04H,3650
10/14/2021 03H,3776
10/14/2021 02H,3763
10/14/2021 01H,3774
10/14/2021 00H,4063
10/13/2021 23H,4214
10/13/2021 22H,4220
10/13/2021 21H,4043
10/13/2021 20H,3691
10/13/2021 19H,3481
10/13/2021 18H,3578
10/13/2021 17H,3779
10/13/2021 16H,3680
10/13/2021 15H,3537
10/13/2021 14H,3393
10/13/2021 13H,3118
10/13/2021 12H,3122
10/13/2021 11H,3423
10/13/2021 10H,3537
10/13/2021 09H,3524
10/13/2021 08H,3535
10/13/2021 07H,3518
10/13/2021 06H,3495
10/13/2021 05H,3624
10/13/2021 04H,3705
10/13/2021 03H,3887
10/13/2021 02H,3876
10/13/2021 01H,3891
10/13/2021 00H,4006
10/12/2021 23H,4258
10/12/2021 22H,4313
10/12/2021 21H,4142
10/12/2021 20H,3986
10/12/2021 19H,4021
10/12/2021 18H,4033
10/12/2021 17H,4026
10/12/2021 16H,3888
10/12/2021 15H,3786
10/12/2021 14H,3789
10/12/2021 13H,3770
10/12/2021 12H,3779
10/12/2021 11H,3685
10/12/2021 10H,3703
10/12/2021 09H,3760
10/12/2021 08H,3795
10/12/2021 07H,3786
10/12/2021 06H,3760
10/12/2021 05H,3796
10/12/2021 04H,3853
10/12/2021 03H,4033
10/12/2021 02H,4002
10/12/2021 01H,4049
10/12/2021 00H,4056
10/11/2021 23H,4046
10/11/2021 22H,4055
10/11/2021 21H,4046
10/11/2021 20H,4052
10/11/2021 19H,4045
10/11/2021 18H,4020
10/11/2021 17H,3757
10/11/2021 16H,3913
10/11/2021 15H,3709
10/11/2021 14H,3696
10/11/2021 13H,3705
10/11/2021 12H,3707
10/11/2021 11H,3711
10/11/2021 10H,3700
10/11/2021 09H,3689
10/11/2021 08H,3694
10/11/2021 07H,3762
10/11/2021 06H,3754
10/11/2021 05H,3801
10/11/2021 04H,3941
10/11/2021 03H,4102
10/11/2021 02H,4094
10/11/2021 01H,4105
10/11/2021 00H,4114
10/10/2021 23H,4099
10/10/2021 22H,4108
10/10/2021 21H,4111
10/10/2021 20H,4114
10/10/2021 19H,4101
10/10/2021 18H,4085
10/10/2021 17H,4003
10/10/2021 16H,3893
10/10/2021 15H,3761
10/10/2021 14H,3758
10/10/2021 13H,3765
10/10/2021 12H,3756
10/10/2021 11H,3754
10/10/2021 10H,3764
10/10/2021 09H,3805
10/10/2021 08H,3859
10/10/2021 07H,3810
10/10/2021 06H,3851
10/10/2021 05H,3879
10/10/2021 04H,4104
10/10/2021 03H,4268
10/10/2021 02H,4327
10/10/2021 01H,4344
10/10/2021 00H,4343
10/9/2021 23H,4349
10/9/2021 22H,4350
10/9/2021 21H,4361
10/9/2021 20H,4330
10/9/2021 19H,4295
10/9/2021 18H,4322
10/9/2021 17H,4326
10/9/2021 16H,4152
10/9/2021 15H,4043
10/9/2021 14H,3908
10/9/2021 13H,3848
10/9/2021 12H,3874
10/9/2021 11H,3861
10/9/2021 10H,3860
10/9/2021 09H,3861
10/9/2021 08H,3917
10/9/2021 07H,3917
10/9/2021 06H,3884
10/9/2021 05H,3941
10/9/2021 04H,4058
10/9/2021 03H,4310
10/9/2021 02H,4248
10/9/2021 01H,4460
10/9/2021 00H,4411
10/8/2021 23H,4668
10/8/2021 22H,4996
10/8/2021 21H,4851
10/8/2021 20H,4810
10/8/2021 19H,4741
10/8/2021 18H,4381
10/8/2021 17H,4356
10/8/2021 16H,4195
10/8/2021 15H,4106
10/8/2021 14H,4019
10/8/2021 13H,3968
10/8/2021 12H,4021
10/8/2021 11H,3998
10/8/2021 10H,3990
10/8/2021 09H,3848
10/8/2021 08H,3428
10/8/2021 07H,3603
10/8/2021 06H,3928
10/8/2021 05H,4057
10/8/2021 04H,4191
10/8/2021 03H,4211
10/8/2021 02H,4196
10/8/2021 01H,4255
10/8/2021 00H,4612
10/7/2021 23H,4764
10/7/2021 22H,4763
10/7/2021 21H,4744
10/7/2021 20H,4704
10/7/2021 19H,4393
10/7/2021 18H,4308
