Net generation from other for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.OTH.H
19:22:01 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.OTH.H megawatthours
10/15/2021 04H,61
10/15/2021 03H,59
10/15/2021 02H,59
10/15/2021 01H,43
10/15/2021 00H,30
10/14/2021 23H,39
10/14/2021 22H,30
10/14/2021 21H,30
10/14/2021 20H,22
10/14/2021 19H,-2
10/14/2021 18H,-4
10/14/2021 17H,3
10/14/2021 16H,26
10/14/2021 15H,31
10/14/2021 14H,31
10/14/2021 13H,31
10/14/2021 12H,31
10/14/2021 11H,28
10/14/2021 10H,29
10/14/2021 09H,30
10/14/2021 08H,30
10/14/2021 07H,28
10/14/2021 06H,32
10/14/2021 05H,33
10/14/2021 04H,62
10/14/2021 03H,58
10/14/2021 02H,58
10/14/2021 01H,42
10/14/2021 00H,30
10/13/2021 23H,30
10/13/2021 22H,31
10/13/2021 21H,28
10/13/2021 20H,27
10/13/2021 19H,-3
10/13/2021 18H,-3
10/13/2021 17H,2
10/13/2021 16H,28
10/13/2021 15H,29
10/13/2021 14H,32
10/13/2021 13H,31
10/13/2021 12H,31
10/13/2021 11H,28
10/13/2021 10H,30
10/13/2021 09H,28
10/13/2021 08H,30
10/13/2021 07H,29
10/13/2021 06H,33
10/13/2021 05H,32
10/13/2021 04H,62
10/13/2021 03H,60
10/13/2021 02H,57
10/13/2021 01H,43
10/13/2021 00H,30
10/12/2021 23H,30
10/12/2021 22H,17
10/12/2021 21H,23
10/12/2021 20H,21
10/12/2021 19H,-2
10/12/2021 18H,-5
10/12/2021 17H,2
10/12/2021 16H,26
10/12/2021 15H,33
10/12/2021 14H,28
10/12/2021 13H,19
10/12/2021 12H,5
10/12/2021 11H,1
10/12/2021 10H,2
10/12/2021 09H,1
10/12/2021 08H,1
10/12/2021 07H,2
10/12/2021 06H,3
10/12/2021 05H,3
10/12/2021 04H,35
10/12/2021 03H,31
10/12/2021 02H,31
10/12/2021 01H,14
10/12/2021 00H,4
10/11/2021 23H,2
10/11/2021 22H,0
10/11/2021 21H,3
10/11/2021 20H,-8
10/11/2021 19H,-29
10/11/2021 18H,-33
10/11/2021 17H,-24
10/11/2021 16H,-1
10/11/2021 15H,2
10/11/2021 14H,5
10/11/2021 13H,2
10/11/2021 12H,5
10/11/2021 11H,0
10/11/2021 10H,3
10/11/2021 09H,2
10/11/2021 08H,1
10/11/2021 07H,2
10/11/2021 06H,3
10/11/2021 05H,5
10/11/2021 04H,34
10/11/2021 03H,32
10/11/2021 02H,29
10/11/2021 01H,27
10/11/2021 00H,31
10/10/2021 23H,28
10/10/2021 22H,30
10/10/2021 21H,30
10/10/2021 20H,20
10/10/2021 19H,-3
10/10/2021 18H,-3
10/10/2021 17H,3
10/10/2021 16H,26
10/10/2021 15H,30
10/10/2021 14H,32
10/10/2021 13H,31
10/10/2021 12H,32
10/10/2021 11H,29
10/10/2021 10H,30
10/10/2021 09H,30
10/10/2021 08H,30
10/10/2021 07H,30
10/10/2021 06H,30
10/10/2021 05H,32
10/10/2021 04H,63
10/10/2021 03H,58
10/10/2021 02H,64
10/10/2021 01H,63
10/10/2021 00H,40
10/9/2021 23H,30
10/9/2021 22H,29
10/9/2021 21H,30
10/9/2021 20H,21
10/9/2021 19H,-1
10/9/2021 18H,-7
10/9/2021 17H,0
10/9/2021 16H,16
10/9/2021 15H,17
10/9/2021 14H,5
10/9/2021 13H,4
10/9/2021 12H,2
10/9/2021 11H,2
10/9/2021 10H,1
10/9/2021 09H,0
10/9/2021 08H,2
10/9/2021 07H,1
10/9/2021 06H,5
10/9/2021 05H,4
10/9/2021 04H,27
10/9/2021 03H,20
10/9/2021 02H,21
10/9/2021 01H,6
10/9/2021 00H,4
10/8/2021 23H,1
10/8/2021 22H,4
10/8/2021 21H,3
10/8/2021 20H,-4
10/8/2021 19H,-21
10/8/2021 18H,-23
10/8/2021 17H,-18
10/8/2021 16H,2
10/8/2021 15H,5
10/8/2021 14H,2
10/8/2021 13H,3
10/8/2021 12H,3
10/8/2021 11H,3
10/8/2021 10H,4
10/8/2021 09H,3
10/8/2021 08H,3
10/8/2021 07H,3
10/8/2021 06H,2
10/8/2021 05H,4
10/8/2021 04H,34
10/8/2021 03H,33
10/8/2021 02H,29
10/8/2021 01H,16
10/8/2021 00H,2
10/7/2021 23H,2
10/7/2021 22H,3
10/7/2021 21H,2
10/7/2021 20H,-7
10/7/2021 19H,-30
10/7/2021 18H,-33
10/7/2021 17H,-23
10/7/2021 16H,-1
10/7/2021 15H,3
10/7/2021 14H,3
10/7/2021 13H,2
10/7/2021 12H,5
10/7/2021 11H,0
10/7/2021 10H,2
10/7/2021 09H,1
10/7/2021 08H,1
10/7/2021 07H,2
10/7/2021 06H,4
10/7/2021 05H,5
10/7/2021 04H,33
10/7/2021 03H,31
10/7/2021 02H,30
10/7/2021 01H,14
10/7/2021 00H,3
10/6/2021 23H,3
10/6/2021 22H,2
10/6/2021 21H,2
10/6/2021 20H,-6
10/6/2021 19H,-30
10/6/2021 18H,-32
10/6/2021 17H,-24
10/6/2021 16H,0
10/6/2021 15H,9
10/6/2021 14H,4
10/6/2021 13H,3
10/6/2021 12H,4
10/6/2021 11H,3
10/6/2021 10H,1
10/6/2021 09H,2
10/6/2021 08H,1
10/6/2021 07H,1
10/6/2021 06H,4
10/6/2021 05H,4
10/6/2021 04H,35
10/6/2021 03H,31
10/6/2021 02H,30
10/6/2021 01H,14
10/6/2021 00H,4
10/5/2021 23H,-1
10/5/2021 22H,3
10/5/2021 21H,1
10/5/2021 20H,4
10/5/2021 19H,-3
10/5/2021 18H,-30
10/5/2021 17H,-25
10/5/2021 16H,-1
10/5/2021 15H,3
10/5/2021 14H,2
10/5/2021 13H,5
10/5/2021 12H,3
10/5/2021 11H,3
10/5/2021 10H,3
10/5/2021 09H,2
10/5/2021 08H,2
10/5/2021 07H,1
10/5/2021 06H,5
10/5/2021 05H,3
10/5/2021 04H,12
10/5/2021 03H,12
10/5/2021 02H,14
10/5/2021 01H,12
10/5/2021 00H,4
10/4/2021 23H,4
10/4/2021 22H,3
10/4/2021 21H,3
10/4/2021 20H,-1
10/4/2021 19H,-5
10/4/2021 18H,-8
10/4/2021 17H,0
10/4/2021 16H,-2
10/4/2021 15H,5
10/4/2021 14H,3
10/4/2021 13H,5
10/4/2021 12H,4
10/4/2021 11H,1
