Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
10/19/2021 14H,5994
10/19/2021 13H,5995
10/19/2021 12H,5993
10/19/2021 11H,6000
10/19/2021 10H,5991
10/19/2021 09H,5987
10/19/2021 08H,5995
10/19/2021 07H,5989
10/19/2021 06H,5983
10/19/2021 05H,5987
10/19/2021 04H,5979
10/19/2021 03H,5980
10/19/2021 02H,5978
10/19/2021 01H,5981
10/19/2021 00H,5975
10/18/2021 23H,5974
10/18/2021 22H,5980
10/18/2021 21H,5974
10/18/2021 20H,5976
10/18/2021 19H,5977
10/18/2021 18H,5976
10/18/2021 17H,5984
10/18/2021 16H,5980
10/18/2021 15H,5994
10/18/2021 14H,5996
10/18/2021 13H,5998
10/18/2021 12H,5995
10/18/2021 11H,6000
10/18/2021 10H,5998
10/18/2021 09H,5994
10/18/2021 08H,5997
10/18/2021 07H,5999
10/18/2021 06H,5993
10/18/2021 05H,5989
10/18/2021 04H,5983
10/18/2021 03H,5985
10/18/2021 02H,5983
10/18/2021 01H,5989
10/18/2021 00H,5974
10/17/2021 23H,5979
10/17/2021 22H,5984
10/17/2021 21H,5975
10/17/2021 20H,5980
10/17/2021 19H,5982
10/17/2021 18H,5991
10/17/2021 17H,5986
10/17/2021 16H,5991
10/17/2021 15H,5992
10/17/2021 14H,5992
10/17/2021 13H,5999
10/17/2021 12H,5993
10/17/2021 11H,5994
10/17/2021 10H,5994
10/17/2021 09H,5990
10/17/2021 08H,5996
10/17/2021 07H,5986
10/17/2021 06H,5983
10/17/2021 05H,5980
10/17/2021 04H,5976
10/17/2021 03H,5970
10/17/2021 02H,5959
10/17/2021 01H,5951
10/17/2021 00H,5943
10/16/2021 23H,5920
10/16/2021 22H,5902
10/16/2021 21H,5897
10/16/2021 20H,5888
10/16/2021 19H,5866
10/16/2021 18H,5872
10/16/2021 17H,5869
10/16/2021 16H,5876
10/16/2021 15H,5881
10/16/2021 14H,5894
10/16/2021 13H,5912
10/16/2021 12H,5914
10/16/2021 11H,5911
10/16/2021 10H,5909
10/16/2021 09H,5912
10/16/2021 08H,5907
10/16/2021 07H,5911
10/16/2021 06H,5908
10/16/2021 05H,5902
10/16/2021 04H,5908
10/16/2021 03H,5901
10/16/2021 02H,5900
10/16/2021 01H,5898
10/16/2021 00H,5895
10/15/2021 23H,5896
10/15/2021 22H,5891
10/15/2021 21H,5891
10/15/2021 20H,5894
10/15/2021 19H,5886
10/15/2021 18H,5898
10/15/2021 17H,5899
10/15/2021 16H,5907
10/15/2021 15H,5920
10/15/2021 14H,5931
10/15/2021 13H,5949
10/15/2021 12H,5933
10/15/2021 11H,5936
10/15/2021 10H,5933
10/15/2021 09H,5934
10/15/2021 08H,5928
10/15/2021 07H,5925
10/15/2021 06H,5922
10/15/2021 05H,5914
10/15/2021 04H,5906
