Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
19:02:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
11/2/2021 06H,19777
11/2/2021 05H,23261
11/2/2021 04H,26812
11/2/2021 03H,30626
11/2/2021 02H,33578
11/2/2021 01H,35965
11/2/2021 00H,37246
11/1/2021 23H,34920
11/1/2021 22H,30598
11/1/2021 21H,28216
11/1/2021 20H,26898
11/1/2021 19H,26138
11/1/2021 18H,26265
11/1/2021 17H,26971
11/1/2021 16H,29985
11/1/2021 15H,34379
11/1/2021 14H,33564
11/1/2021 13H,31412
11/1/2021 12H,28787
11/1/2021 11H,23375
11/1/2021 10H,18831
11/1/2021 09H,16957
11/1/2021 08H,16934
11/1/2021 07H,17972
11/1/2021 06H,20032
11/1/2021 05H,21999
11/1/2021 04H,24495
11/1/2021 03H,27367
11/1/2021 02H,30083
11/1/2021 01H,31894
11/1/2021 00H,31962
10/31/2021 23H,28110
10/31/2021 22H,25987
10/31/2021 21H,23354
10/31/2021 20H,21970
10/31/2021 19H,22324
10/31/2021 18H,23154
10/31/2021 17H,23545
10/31/2021 16H,23763
10/31/2021 15H,24273
10/31/2021 14H,23713
10/31/2021 13H,21446
10/31/2021 12H,19036
10/31/2021 11H,16971
10/31/2021 10H,16189
10/31/2021 09H,16474
10/31/2021 08H,17260
10/31/2021 07H,18460
10/31/2021 06H,20268
10/31/2021 05H,22479
10/31/2021 04H,25339
10/31/2021 03H,27398
10/31/2021 02H,29803
10/31/2021 01H,30648
10/31/2021 00H,29618
10/30/2021 23H,26231
10/30/2021 22H,23482
10/30/2021 21H,21423
10/30/2021 20H,21085
10/30/2021 19H,20960
10/30/2021 18H,22483
10/30/2021 17H,24317
10/30/2021 16H,25890
10/30/2021 15H,26736
10/30/2021 14H,24814
10/30/2021 13H,21428
10/30/2021 12H,19376
10/30/2021 11H,17140
10/30/2021 10H,15836
10/30/2021 09H,15515
10/30/2021 08H,15411
10/30/2021 07H,15893
10/30/2021 06H,18111
10/30/2021 05H,22354
10/30/2021 04H,25561
10/30/2021 03H,28822
10/30/2021 02H,30780
10/30/2021 01H,31669
10/30/2021 00H,31785
10/29/2021 23H,30214
10/29/2021 22H,27059
10/29/2021 21H,24139
10/29/2021 20H,22365
10/29/2021 19H,22454
10/29/2021 18H,23052
10/29/2021 17H,24546
10/29/2021 16H,26631
10/29/2021 15H,27361
10/29/2021 14H,28608
10/29/2021 13H,26935
10/29/2021 12H,23125
10/29/2021 11H,18438
10/29/2021 10H,15121
10/29/2021 09H,14467
10/29/2021 08H,15001
10/29/2021 07H,15655
10/29/2021 06H,17317
10/29/2021 05H,19856
10/29/2021 04H,22694
10/29/2021 03H,26044
10/29/2021 02H,30863
10/29/2021 01H,33409
10/29/2021 00H,33515
10/28/2021 23H,30433
10/28/2021 22H,27656
10/28/2021 21H,25625
10/28/2021 20H,24197
10/28/2021 19H,23568
10/28/2021 18H,23239
10/28/2021 17H,24426
10/28/2021 16H,25886
10/28/2021 15H,28885
10/28/2021 14H,29757
10/28/2021 13H,28930
10/28/2021 12H,25731
10/28/2021 11H,21329
10/28/2021 10H,17619
10/28/2021 09H,16041
10/28/2021 08H,15662
10/28/2021 07H,17741
10/28/2021 06H,18639
10/28/2021 05H,20614
10/28/2021 04H,23515
10/28/2021 03H,27649
10/28/2021 02H,31898
10/28/2021 01H,34028
