Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
10/31/2021 20H,5940
10/31/2021 19H,5779
10/31/2021 18H,5370
10/31/2021 17H,5103
10/31/2021 16H,4912
10/31/2021 15H,4904
10/31/2021 14H,4878
10/31/2021 13H,4957
10/31/2021 12H,4687
10/31/2021 11H,4364
10/31/2021 10H,4224
10/31/2021 09H,4260
10/31/2021 08H,4195
10/31/2021 07H,4273
10/31/2021 06H,4142
10/31/2021 05H,4250
10/31/2021 04H,4790
10/31/2021 03H,5874
10/31/2021 02H,6700
10/31/2021 01H,7149
10/31/2021 00H,7191
10/30/2021 23H,7117
10/30/2021 22H,7479
10/30/2021 21H,7478
10/30/2021 20H,7309
10/30/2021 19H,7328
10/30/2021 18H,7344
10/30/2021 17H,7270
10/30/2021 16H,7326
10/30/2021 15H,7168
10/30/2021 14H,6848
10/30/2021 13H,6513
10/30/2021 12H,5834
10/30/2021 11H,5309
10/30/2021 10H,4809
10/30/2021 09H,4695
10/30/2021 08H,4612
10/30/2021 07H,4651
10/30/2021 06H,4842
10/30/2021 05H,5147
10/30/2021 04H,5844
10/30/2021 03H,6575
10/30/2021 02H,7504
10/30/2021 01H,8045
10/30/2021 00H,8094
10/29/2021 23H,8100
10/29/2021 22H,8276
10/29/2021 21H,8037
10/29/2021 20H,8078
10/29/2021 19H,7956
10/29/2021 18H,8008
10/29/2021 17H,7840
10/29/2021 16H,7895
10/29/2021 15H,8172
10/29/2021 14H,8245
10/29/2021 13H,8288
10/29/2021 12H,8345
10/29/2021 11H,7548
10/29/2021 10H,5977
10/29/2021 09H,5142
10/29/2021 08H,4861
10/29/2021 07H,4863
10/29/2021 06H,4901
10/29/2021 05H,5109
10/29/2021 04H,5546
10/29/2021 03H,6685
10/29/2021 02H,7681
10/29/2021 01H,8068
10/29/2021 00H,8185
10/28/2021 23H,8490
10/28/2021 22H,8378
10/28/2021 21H,7943
10/28/2021 20H,7350
10/28/2021 19H,7064
10/28/2021 18H,7266
10/28/2021 17H,7353
10/28/2021 16H,7568
10/28/2021 15H,7632
10/28/2021 14H,7533
10/28/2021 13H,7515
10/28/2021 12H,7664
10/28/2021 11H,6954
10/28/2021 10H,5696
10/28/2021 09H,5200
10/28/2021 08H,4866
10/28/2021 07H,4834
