Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
10/20/2021 18H,335
10/20/2021 17H,347
10/20/2021 16H,337
10/20/2021 15H,345
10/20/2021 14H,365
10/20/2021 13H,447
10/20/2021 12H,491
10/20/2021 11H,468
10/20/2021 10H,491
10/20/2021 09H,503
10/20/2021 08H,564
10/20/2021 07H,605
10/20/2021 06H,625
10/20/2021 05H,638
10/20/2021 04H,660
10/20/2021 03H,727
10/20/2021 02H,719
10/20/2021 01H,759
10/20/2021 00H,764
10/19/2021 23H,766
10/19/2021 22H,752
10/19/2021 21H,737
10/19/2021 20H,769
10/19/2021 19H,774
10/19/2021 18H,737
10/19/2021 17H,721
10/19/2021 16H,733
10/19/2021 15H,687
10/19/2021 14H,662
10/19/2021 13H,679
10/19/2021 12H,780
10/19/2021 11H,770
10/19/2021 10H,724
10/19/2021 09H,669
10/19/2021 08H,713
10/19/2021 07H,686
10/19/2021 06H,662
10/19/2021 05H,741
10/19/2021 04H,700
10/19/2021 03H,707
10/19/2021 02H,689
10/19/2021 01H,722
10/19/2021 00H,716
10/18/2021 23H,681
10/18/2021 22H,641
10/18/2021 21H,610
10/18/2021 20H,563
10/18/2021 19H,0
10/18/2021 18H,475
10/18/2021 17H,430
10/18/2021 16H,391
10/18/2021 15H,444
10/18/2021 14H,494
10/18/2021 13H,519
10/18/2021 12H,552
10/18/2021 11H,562
10/18/2021 10H,534
10/18/2021 09H,519
10/18/2021 08H,506
10/18/2021 07H,506
10/18/2021 06H,514
10/18/2021 05H,505
10/18/2021 04H,450
10/18/2021 03H,505
10/18/2021 02H,514
10/18/2021 01H,544
10/18/2021 00H,501
10/17/2021 23H,611
10/17/2021 22H,551
10/17/2021 21H,539
10/17/2021 20H,537
10/17/2021 19H,551
10/17/2021 18H,545
10/17/2021 17H,567
10/17/2021 16H,584
10/17/2021 15H,583
10/17/2021 14H,537
10/17/2021 13H,521
10/17/2021 12H,552
10/17/2021 11H,596
10/17/2021 10H,587
10/17/2021 09H,646
10/17/2021 08H,636
10/17/2021 07H,659
10/17/2021 06H,657
10/17/2021 05H,644
10/17/2021 04H,544
10/17/2021 03H,544
10/17/2021 02H,535
10/17/2021 01H,554
10/17/2021 00H,555
10/16/2021 23H,614
10/16/2021 22H,678
10/16/2021 21H,675
10/16/2021 20H,650
10/16/2021 19H,580
10/16/2021 18H,519
10/16/2021 17H,463
10/16/2021 16H,407
10/16/2021 15H,390
10/16/2021 14H,334
10/16/2021 13H,294
10/16/2021 12H,272
10/16/2021 11H,248
10/16/2021 10H,246
10/16/2021 09H,218
10/16/2021 08H,196
10/16/2021 07H,184
10/16/2021 06H,164
10/16/2021 05H,138
10/16/2021 04H,118
10/16/2021 03H,110
10/16/2021 02H,0
10/16/2021 01H,91
10/16/2021 00H,75
10/15/2021 23H,65
10/15/2021 22H,48
10/15/2021 21H,36
10/15/2021 20H,28
10/15/2021 19H,24
10/15/2021 18H,23
10/15/2021 17H,14
10/15/2021 16H,16
10/15/2021 15H,18
10/15/2021 14H,21
10/15/2021 13H,12
10/15/2021 12H,7
10/15/2021 11H,8
10/15/2021 10H,12
10/15/2021 09H,24
10/15/2021 08H,34
10/15/2021 07H,13
10/15/2021 06H,17
10/15/2021 05H,0
10/15/2021 04H,30
10/15/2021 03H,45
10/15/2021 02H,63
10/15/2021 01H,81
10/15/2021 00H,54
10/14/2021 23H,78
10/14/2021 22H,0
10/14/2021 21H,0
10/14/2021 20H,75
10/14/2021 19H,120
10/14/2021 18H,128
10/14/2021 17H,118
10/14/2021 16H,130
10/14/2021 15H,155
10/14/2021 14H,173
10/14/2021 13H,260
10/14/2021 12H,342
10/14/2021 11H,351
10/14/2021 10H,316
10/14/2021 09H,285
10/14/2021 08H,246
10/14/2021 07H,215
10/14/2021 06H,235
10/14/2021 05H,203
10/14/2021 04H,197
10/14/2021 03H,170
10/14/2021 02H,131
10/14/2021 01H,148
10/14/2021 00H,143
10/13/2021 23H,96
10/13/2021 22H,62
10/13/2021 21H,37
10/13/2021 20H,33
10/13/2021 19H,34
10/13/2021 18H,22
10/13/2021 17H,10
10/13/2021 16H,5
10/13/2021 15H,9
10/13/2021 14H,12
10/13/2021 13H,20
10/13/2021 12H,31
10/13/2021 11H,37
10/13/2021 10H,37
10/13/2021 09H,39
10/13/2021 08H,57
10/13/2021 07H,65
10/13/2021 06H,73
10/13/2021 05H,82
10/13/2021 04H,84
10/13/2021 03H,107
10/13/2021 02H,76
10/13/2021 01H,77
10/13/2021 00H,59
10/12/2021 23H,41
10/12/2021 22H,20
10/12/2021 21H,9
10/12/2021 20H,5
10/12/2021 19H,4
10/12/2021 18H,7
10/12/2021 17H,5
10/12/2021 16H,9
10/12/2021 15H,21
10/12/2021 14H,64
10/12/2021 13H,92
10/12/2021 12H,98
10/12/2021 11H,98
10/12/2021 10H,93
10/12/2021 09H,110
10/12/2021 08H,95
10/12/2021 07H,107
10/12/2021 06H,104
10/12/2021 05H,131
10/12/2021 04H,139
10/12/2021 03H,156
10/12/2021 02H,181
10/12/2021 01H,161
10/12/2021 00H,119
10/11/2021 23H,78
10/11/2021 22H,59
10/11/2021 21H,53
10/11/2021 20H,47
10/11/2021 19H,47
10/11/2021 18H,48
10/11/2021 17H,48
10/11/2021 16H,51
10/11/2021 15H,58
10/11/2021 14H,75
10/11/2021 13H,97
10/11/2021 12H,147
10/11/2021 11H,146
10/11/2021 10H,157
10/11/2021 09H,158
10/11/2021 08H,173
10/11/2021 07H,215
10/11/2021 06H,254
10/11/2021 05H,271
10/11/2021 04H,324
10/11/2021 03H,348
10/11/2021 02H,357
10/11/2021 01H,379
10/11/2021 00H,336
10/10/2021 23H,266
10/10/2021 22H,205
10/10/2021 21H,186
10/10/2021 20H,186
10/10/2021 19H,167
10/10/2021 18H,197
10/10/2021 17H,210
10/10/2021 16H,191
10/10/2021 15H,178
10/10/2021 14H,182
10/10/2021 13H,251
10/10/2021 12H,274
10/10/2021 11H,273
10/10/2021 10H,282
10/10/2021 09H,294
10/10/2021 08H,294
10/10/2021 07H,257
10/10/2021 06H,267
10/10/2021 05H,271
10/10/2021 04H,292
10/10/2021 03H,322
10/10/2021 02H,294
10/10/2021 01H,299
10/10/2021 00H,246
10/9/2021 23H,202
10/9/2021 22H,168
10/9/2021 21H,147
10/9/2021 20H,116
10/9/2021 19H,108
10/9/2021 18H,117
10/9/2021 17H,118
10/9/2021 16H,130
10/9/2021 15H,144
10/9/2021 14H,151
10/9/2021 13H,182
10/9/2021 12H,191
10/9/2021 11H,196
